DATE,FAVORITE,SPREAD,UNDERDOG,TOTAL,AWAY MONEY LINE,HOME MONEY LINE
10/21/18 13:00,Vikings,-3,at Jets,44.5,-165,155
10/21/18 13:00,at Eagles,-4.5,Panthers,45,200,-220
10/21/18 13:00,Patriots,-1,at Bears,49,-113,103
10/21/18 13:00,at Colts,-7,Bills,43.5,260,-290
10/21/18 13:00,at Jaguars,-4,Texans,43,170,-185
10/21/18 13:00,at Buccaneers,-3.5,Browns,52,170,-185
10/21/18 16:05,at Ravens,-2.5,Saints,49.5,124,-134
10/21/18 16:25,Cowboys,-1,at Redskins,40.5,-120,110
10/21/18 16:25,Rams,-9.5,at 49ers,51.5,-405,360
10/21/18 20:20,at Chiefs,-6,Bengals,56.5,240,-260
10/22/18 20:15,at Falcons,-4,Giants,52.5,185,-200
10/25/18 20:20,at Texans,-7.5,Dolphins,45,315,-345
10/28/18 9:30,Eagles,-3.5,at Jaguars,44.5,-190,175
10/28/18 13:00,at Chiefs,-8.5,Broncos,53.5,335,-375
10/28/18 13:00,Ravens,-2.5,at Panthers,44.5,-137,127
10/28/18 13:00,at Bears,-9,Jets,42,320,-355
10/28/18 13:00,at Bengals,-3.5,Buccaneers,54.5,170,-185
10/28/18 13:00,at Lions,-3,Seahawks,48,150,-160
10/28/18 13:00,Redskins,-1,at Giants,44,-105,-105
10/28/18 13:00,at Steelers,-9,Browns,47.5,348,-390
10/28/18 16:05,Colts,-3,at Raiders,51,-178,167
10/28/18 16:25,49ers,-2.5,at Cardinals,40,-140,130
10/28/18 16:25,at Rams,-7.5,Packers,57,315,-345
10/28/18 20:20,Saints,-2.5,at Vikings,54,-131,121
10/29/18 20:15,Patriots,-14,at Bills,44,-950,750
11/1/18 20:20,Raiders,-2,at 49ers,44,-125,115
11/4/18 13:00,Falcons,-1,at Redskins,46.5,103,-113
11/4/18 13:00,Steelers,-1,at Ravens,47,105,-115
11/4/18 13:00,Bears,-10,at Bills,38,-450,400
11/4/18 13:00,at Panthers,-6.5,Buccaneers,56,260,-290
11/4/18 13:00,Chiefs,-7.5,at Browns,51,-365,328
11/4/18 13:00,at Dolphins,-3,Jets,43,138,-148
11/4/18 13:00,at Vikings,-5.5,Lions,47,205,-225
11/4/18 16:05,Texans,-1,at Broncos,46.5,-102,-108
11/4/18 16:05,Chargers,-1,at Seahawks,48.5,-105,-105
11/4/18 16:25,Rams,-1.5,at Saints,57,-122,112
11/4/18 20:20,at Patriots,-4.5,Packers,56.5,190,-210
11/5/18 20:15,at Cowboys,-4,Titans,40,190,-210
11/8/18 20:20,at Steelers,-3.5,Panthers,51,170,-185
11/11/18 13:00,at Buccaneers,-3.5,Redskins,51,160,-170
11/11/18 13:00,Patriots,-6.5,at Titans,46.5,-260,240
11/11/18 13:00,at Bears,-7.5,Lions,45,290,-320
11/11/18 13:00,Saints,-6,at Bengals,53,-260,240
11/11/18 13:00,Falcons,-5.5,at Browns,49,-240,220
11/11/18 13:00,at Colts,-3,Jaguars,48,148,-158
11/11/18 13:00,at Chiefs,-17,Cardinals,49.5,1150,-1450
11/11/18 13:00,at Jets,-7,Bills,37.5,260,-290
11/11/18 16:05,Chargers,-10,at Raiders,50.5,-475,420
11/11/18 16:25,at Rams,-9.5,Seahawks,51,380,-430
11/11/18 16:25,at Packers,-12.5,Dolphins,48.5,540,-660
11/11/18 20:20,at Eagles,-7.5,Cowboys,45.5,315,-345
11/12/18 20:15,at 49ers,-3,Giants,45,152,-162
11/15/18 20:20,at Seahawks,-3,Packers,49,145,-155
11/18/18 13:00,Texans,-3,at Redskins,40.5,-157,147
11/18/18 13:00,at Giants,-3,Buccaneers,54,153,-163
11/18/18 13:00,Panthers,-4,at Lions,48.5,-200,185
11/18/18 13:00,Titans,-1.5,at Colts,50,110,-120
11/18/18 13:00,Steelers,-4,at Jaguars,47,-195,180
11/18/18 13:00,at Falcons,-3.5,Cowboys,49.5,170,-185
11/18/18 13:00,at Ravens,-6.5,Bengals,43.5,240,-260
11/18/18 16:05,at Cardinals,-4.5,Raiders,41,185,-200
11/18/18 16:05,at Chargers,-7,Broncos,47,280,-310
11/18/18 16:25,at Saints,-7,Eagles,56.5,270,-300
11/18/18 20:20,at Bears,-2.5,Vikings,44,130,-140
11/19/18 20:15,at Rams,-3,Chiefs,63.5,160,-170
11/22/18 12:30,Bears,-3,at Lions,42.5,-165,155
11/22/18 16:30,at Cowboys,-7,Redskins,40,290,-320
11/22/18 20:20,at Saints,-12,Falcons,61,500,-600
11/25/18 13:00,Patriots,-12.5,at Jets,47,-660,540
11/25/18 13:00,at Eagles,-5,Giants,49.5,190,-210
11/25/18 13:00,at Buccaneers,-2,49ers,54.5,115,-125
11/25/18 13:00,at Ravens,-12.5,Raiders,42,568,-700
11/25/18 13:00,Jaguars,-3,at Bills,36.5,-157,147
11/25/18 13:00,at Panthers,-3,Seahawks,46.5,150,-160
11/25/18 13:00,Browns,-1,at Bengals,47,-112,102
11/25/18 16:05,at Chargers,-14,Cardinals,43,725,-925
11/25/18 16:25,at Colts,-8.5,Dolphins,52.5,330,-370
11/25/18 16:25,Steelers,-3,at Broncos,47.5,-155,145
11/25/18 20:20,at Vikings,-3.5,Packers,48.5,170,-185
11/26/18 20:15,at Texans,-3.5,Titans,42.5,170,-185
11/29/18 20:20,Saints,-7,at Cowboys,51.5,-335,305
12/2/18 13:00,Rams,-10,at Lions,54,-450,400
12/2/18 13:00,at Packers,-13,Cardinals,41,610,-765
