,FAVORITE,SPREAD,UNDERDOG,TOTAL,AWAY MONEY LINE,HOME MONEY LINE,H/A
113,Lions,-3.0,Seahawks,48.0,150,-160,H
114,Redskins,-1.0,Giants,44.0,-105,-105,A
115,Steelers,-9.0,Browns,47.5,348,-390,H
116,Colts,-3.0,Raiders,51.0,-178,167,A
117,49ers,-2.5,Cardinals,40.0,-140,130,A
118,Rams,-7.5,Packers,57.0,315,-345,H
119,Saints,-2.5,Vikings,54.0,-131,121,A
120,Patriots,-14.0,Bills,44.0,-950,750,H
121,Raiders,-2.0,49ers,44.0,-125,115,A
122,Falcons,-1.0,Redskins,46.5,103,-113,A
123,Steelers,-1.0,Ravens,47.0,105,-115,A
124,Bears,-10.0,Bills,38.0,-450,400,A
125,Panthers,-6.5,Buccaneers,56.0,260,-290,H
126,Chiefs,-7.5,Browns,51.0,-365,328,A
127,Dolphins,-3.0,Jets,43.0,138,-148,H
128,Vikings,-5.5,Lions,47.0,205,-225,H
129,Texans,-1.0,Broncos,46.5,-102,-108,A
130,Chargers,-1.0,Seahawks,48.5,-105,-105,A
131,Rams,-1.5,Saints,57.0,-122,112,A
132,Patriots,-4.5,Packers,56.5,190,-210,H
133,Cowboys,-4.0,Titans,40.0,190,-210,H
134,Steelers,-3.5,Panthers,51.0,170,-185,H
135,Buccaneers,-3.5,Redskins,51.0,160,-170,H
136,Patriots,-6.5,Titans,46.5,-260,240,H
137,Bears,-7.5,Lions,45.0,290,-320,H
138,Saints,-6.0,Bengals,53.0,-260,240,A
139,Falcons,-5.5,Browns,49.0,-240,220,A
140,Colts,-3.0,Jaguars,48.0,148,-158,H
141,Chiefs,-17.0,Cardinals,49.5,1150,-1450,H
142,Jets,-7.0,Bills,37.5,260,-290,H
143,Chargers,-10.0,Raiders,50.5,-475,420,A
144,Rams,-9.5,Seahawks,51.0,380,-430,H
145,Packers,-12.5,Dolphins,48.5,540,-660,H
146,Eagles,-7.5,Cowboys,45.5,315,-345,H
147,49ers,-3.0,Giants,45.0,152,-162,H
148,Seahawks,-3.0,Packers,49.0,145,-155,H
149,Texans,-3.0,Redskins,40.5,-157,147,A
150,Giants,-3.0,Buccaneers,54.0,153,-163,H
151,Panthers,-4.0,Lions,48.5,-200,185,A
152,Titans,-1.5,Colts,50.0,110,-120,A
153,Steelers,-4.0,Jaguars,47.0,-195,180,A
154,Falcons,-3.5,Cowboys,49.5,170,-185,H
155,Ravens,-6.5,Bengals,43.5,240,-260,H
156,Cardinals,-4.5,Raiders,41.0,185,-200,H
157,Chargers,-7.0,Broncos,47.0,280,-310,H
158,Saints,-7.0,Eagles,56.5,270,-300,H
159,Bears,-2.5,Vikings,44.0,130,-140,H
160,Rams,-3.0,Chiefs,63.5,160,-170,H
161,Bears,-3.0,Lions,42.5,-165,155,A
162,Cowboys,-7.0,Redskins,40.0,290,-320,H
163,Saints,-12.0,Falcons,61.0,500,-600,H
164,Patriots,-12.5,Jets,47.0,-660,540,H
165,Eagles,-5.0,Giants,49.5,190,-210,H
166,Buccaneers,-2.0,49ers,54.5,115,-125,H
167,Ravens,-12.5,Raiders,42.0,568,-700,H
168,Jaguars,-3.0,Bills,36.5,-157,147,A
169,Panthers,-3.0,Seahawks,46.5,150,-160,H
170,Browns,-1.0,Bengals,47.0,-112,102,A
171,Chargers,-14.0,Cardinals,43.0,725,-925,H
172,Colts,-8.5,Dolphins,52.5,330,-370,H
173,Steelers,-3.0,Broncos,47.5,-155,145,A
174,Vikings,-3.5,Packers,48.5,170,-185,H
175,Texans,-3.5,Titans,42.5,170,-185,H
176,Saints,-7.0,Cowboys,51.5,-335,305,A
177,Rams,-10.0,Lions,54.0,-450,400,A
178,Packers,-13.0,Cardinals,41.0,610,-765,H
179,Texans,-5.5,Browns,47.5,200,-220,H
180,Colts,-4.0,Jaguars,45.5,-205,188,A
181,Dolphins,-3.5,Bills,39.5,175,-190,H
182,Falcons,-2.5,Ravens,46.5,125,-135,H
183,Broncos,-4.0,Bengals,44.5,-190,175,A
184,Bears,-4.0,Giants,43.5,-190,175,A
185,Panthers,-3.5,Buccaneers,51.5,-178,167,A
186,Titans,-9.5,Jets,40.0,380,-430,H
187,Chiefs,-14.0,Raiders,53.5,-900,700,A
